Hydro Flask Wide-Mouth Vacuum Water Bottle with Flex Cap - 40 fl. oz.,Item #207809, $23.73,4.8
NEMO Tensor Ultralight Sleeping Pad,Item #199934, $89.83,3.9
Nikon Monarch M5 10 x 42 Binoculars,Item #205173, $269.99,5.0
REI Co-op Flash 22 Pack,Item #201965, $41.93,4.2
Therm-a-Rest ProLite Plus Sleeping Pad,Item #171684, $56.83,4.3
REI Co-op Trail 40 Pack - Women's,Item #168487, $89.93,4.6
REI Co-op Flannel/Fleece Blanket,Item #193589, $29.93,4.6
TheTentLab The Deuce #3 Heavy Duty Backcountry Trowel,Item #143797, $15.93,4.6
LuminAID PackLite Max 2-in-1 Power Lantern,Item #120697, $34.93,3.4
REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 32 fl. oz.,Item #203552, $10.93,4.8
REI Co-op Trailgate Vehicle Shelter,Item #193121, $73.83,3.6
TheTentLab The Deuce #2 UL Backcountry Trowel,Item #131611, $14.93,4.5
YETI Rambler Vacuum Pint Glass with MagSlider Lid,Item #233808, $22.59,4.7
Soto Pocket Torch with Refillable Lighter,Item #148567, $15.93,3.3
Platypus QuickDraw Microfilter System,Item #188475, $29.93,3.3
Rubbermaid Action Packer - 24 Gallon,Item #634288, $36.93,4.5
Mountainsmith Drift Waistpack,Item #218743, $39.93,4.9
REI Co-op Trail 5 Waist Pack,Item #168490, $34.93,4.5
humangear GoBites Trio Utensil Set,Item #108191, $10.93,4.8
GCI Outdoor Slim-Fold Table,Item #205046, $61.83,4.6
BioLite HeadLamp 200,Item #226983, $26.73,4.6
MPOWERD Luci Candle Lantern,Item #147499, $14.73,3.7
Snow Peak Titanium French Press,Item #129640, $44.93,4.2
Coast XP11R Professional Series Flashlight - 2023,Item #219255, $41.93,4.6
Black Diamond Trail Back Trekking Poles - Pair,Item #202399, $69.93,4.6
Sea to Summit Alpha Light Spoon - Long,Item #782241, $8.93,4.5
Sea to Summit Trek & Travel Pocket Shampoo with Conditioner,Item #785915, $3.93,3.2
GSI Outdoors Spice Missile,Item #815538, $7.93,4.1
Esbit Emergency Stove with 3 Fuel Cubes,Item #231017, $4.73,3.0
PackTowl Luxe Hand Towel,Item #227753, $9.73,3.5
Hydro Flask Wide-Mouth Vacuum Water Bottle with Flex Cap - 40 fl. oz.,Item #207809, $23.73,4.8
NEMO Tensor Ultralight Sleeping Pad,Item #199934, $89.83,3.9
Nikon Monarch M5 10 x 42 Binoculars,Item #205173, $269.99,5.0
REI Co-op Flash 22 Pack,Item #201965, $41.93,4.2
Therm-a-Rest ProLite Plus Sleeping Pad,Item #171684, $56.83,4.3
REI Co-op Trail 40 Pack - Women's,Item #168487, $89.93,4.6
